UBE2Q1
RNF14
UBE2Q2
RNF10
RNF11
RNF13
REM1
REM2
PLA2G2F
C16orf11
UCHL5
RNF17
MZT2A
MZT2B
CHMP1B
PMM2
PMM1
ASS1
NCBP1
ZNF709
LRIT1
ZNF879
ZNF878
LRRTM4
CAMK1
STYXL1
SPR
ZNF707
CAMK4
ZNF704
ZC3H10
ZC3H13
RNF115
ZC3H15
ZC3H14
SPN
RNF111
LRRTM1
GRIN1
PISD
DHX8
SP9
LAS2
TCOF1
LRRTM3
NUP98
XPC
SP1
XPA
LRRTM2
SP4
SP5
SP6
CAMKV
OR5B3
GOLIM4
OPA3
OPA1
RHEB
RAB40C
RAB40B
RAB40A
KRTAP21-2
COL7A1
MDP1
KLLN
FAM183A
ARFRP1
OVCH1
TOR4A
SPPL2A
SPPL2C
SPPL2B
PDE7B
ITGA8
ITGA9
UGCG
MYO3B
ATP2A1
ATP2A2
ATP2A3
ITGA1
ITGA2
ITGA3
ITGA4
ITGA5
ITGA6
ITGA7
TRHR
DENND4A
DENND4B
MTG2
SWAP70
PREB
UFSP1
PHLDA3
PHLDA2
GR6
GAP43
PAMR1
FBXL13
FBXL12
HRH2
CYP27B1
FBXL17
HRH1
FBXL19
FBXL18
FAM169B
LRRC7
GHDC
SDK1
SDK2
GRP
TPRN
THSD4
ABHD14A
FAM212A
CHST9
COL4A6
COL4A5
COL4A4
COL4A3
COL4A2
COL4A1
OR8J3
CHST1
CHST3
CHST2
CHST5
CHST4
CHST7
CHST6
ITGAX
OR8J1
HLX
HLCS
NOG
HIBCH
MTG1
ITGAL
ITGAM
ERBB2
HLF
NOV
ITGAD
ITGAE
FAM134A
SMAD9
TRERF1
LRPAP1
SMAD5
SMAD6
SMAD7
RIC3
SMAD1
SMAD2
SMAD3
RFK
AMMECR1L
TMPRSS11A
TMPRSS11B
IGF2R
TMPRSS11D
TMPRSS11E
TMPRSS11F
HS3ST2
ZNF321P
ABHD14B
RAD21L1
PLRG1
SLC36A3
CKS1B
SLC36A1
EXOG
RNF112
ERICH1
ARTN
ART1
HRH3
ART3
ART5
ART4
CEP97
HMGCLL1
TCEA2
TCEA3
MEI1
COX4I1
BFAR
ZC3H18
NAGLT1
CRTAM
EDA
OR6P1
CCDC116
CADPS2
CCDC114
RLF
CCDC112
MCF2L
CCDC110
CCDC111
LEO1
ATP1A4
ATP1A3
ATP1A2
ATP1A1
TMEM211
MGRN1
CRTAP
SP8
SPHK1
DPT
ADPGK
CUEDC2
IPO13
CPEB4
CPEB1
CPEB3
CPEB2
RBMXL1
RBMXL3
RBMXL2
ABAT
CDH20
ZNF780A
ZNF780B
TLN2
TSNARE1
NSRP1
FRG1
FRG2
RHEBL1
SIRPA
IFT80
IFT81
IFT88
POU5F1B
NFATC2IP
SP2
CNTF
SP3
NUP93
LTBP3
ZNF221
ATG4C
ATG4B
ATG4A
THUMPD2
ATG4D
PHOX2A
SP7
CHORDC1
LRGUK
UPK2
CFH
CFI
FBXO3
PNP
CFD
CFB
OR5P3
OR5P2
LHPP
CREBBP
BRF1
PNN
ATP6V0E1
CFP
AAAS
HAMP
EDC3
SIDT1
SERPINA10
SIDT2
CSK
TRNAU1AP
TTC7B
TMEM126A
FGGY
RUVBL1
SIX4
SIX5
SIX6
SAGE1
SIX1
OR2T3
SIX3
TGIF2LX
PTCHD1
CNPY2
CNPY1
NODAL
COPG2
KNDC1
HMG20A
HMG20B
GLT8D2
FBXO6
C4orf19
C3orf79
C4orf17
C3orf72
C3orf70
CEP70
SHOX2
MRI
ZFP82
CHFR
KIAA0430
SYPL1
RFPL1
SYPL2
RFX8
ZNF222
RFX4
RFX5
APP
RFX7
RFX1
RFX2
YDJC
TIGD2
APC
TMEM179B
ABCE1
UQCRC2
XPNPEP1
XPNPEP2
UQCRC1
CEPT1
GGCX
PAPLN
RETSAT
ZNF57
KHDRBS3
GGCT
DCNP1
LHCGR
ARPP21
OR1Q1
INF2
C8orf37
VPS37B
LRFN2
DPYSL4
DPYSL5
DPYSL2
DPYSL3
PODN
KRTAP10-12
KRTAP10-10
IGFBP2
IGFBP3
LRFN1
IGFBP1
HBE1
IGFBP7
IGFBP4
IGFBP5
CYP1B1
P2RX4
CYP2R1
CKLF
DAW1
C15orf26
GJA1
GJA3
GJA4
GJA8
GJA9
OR4D1
KDM3B
ZNF117
ZNF114
KDM3A
ZNF112
OR4D2
NIF3L1
TMC5
TMC6
TMC7
APIP
TMC1
TMC2
TMC3
EIF2B4
EIF2B5
EIF2B2
EIF2B3
EIF2B1
PRKAR2A
PRKAR2B
CRYBG3
TXNIP
TMEM200B
MLF1
QPRT
TMEM14E
MLF2
TMEM14C
FAM157A
FAM157B
FANCF
ITGA2B
RSPH1
FANCE
GTPBP8
ZNF396
LURAP1
C9orf129
MYT1L
ABCA12
C9orf123
CFHR2
CFHR3
CLIC4
NOP2
PHACTR1
CLIC3
LRSAM1
CLIC1
KRTAP2-3
KRTAP2-2
LRFN5
KIAA0020
TMEM147
ASGR1
ASGR2
TMEM144
FOXL2
RIT1
TEN1
FOXL1
MLH1
KIAA1279
PKIB
API5
PCDHA4
CLEC1B
UBE2NL
SOWAHA
SOWAHB
SOWAHC
SOWAHD
FANCI
KIAA1199
GSDMC
HLA-DPA1
FAM32A
C10orf53
CEP72
FER1L6
VMP1
FER1L5
CA5B
ZNF559
ZMAT3
ZMAT2
ZMAT5
ZMAT4
NSMF
MYBL1
SMOC2
NR1D2
MYBL2
ITGB1BP1
ITGB1BP2
ZNF7
ZNF2
OR2M2
MARK10
CTCFL
PHLDA1
RNF182
ZNF8
MLANA
ZAP70
TXNRD3NB
UFSP2
OGFR
EPM2AIP1
CDC5L
RAC3
RAC1
SBDS
VCL
VCP
CPLX3
CPLX1
AP2A1
CPLX4
AP2A2
VCX
VCY
CADPS
FIGNL1
PBX2
PBX3
PBX1
AIRE
TMOD2
NSUN3
NSUN2
NSUN5
NSUN4
ZNF160
NSUN6
TUBG1
PRAMEF5
PRAMEF6
PRAMEF7
FAM71F1
PRAMEF1
PRAMEF2
FAM71F2
TARS
PTCH1
PRAMEF8
TIMM44
TUFM
RAD9B
RAD9A
ERGIC2
ERGIC3
MAMSTR
ERGIC1
CLEC14A
S100PBP
B3GAT3
B3GAT2
B3GAT1
CPPED1
UXT
TTC9
TTC30A
TTC30B
CALM1
GSDMA
GSDMB
OR5I1
GSDMD
UPK1A
UPK1B
DLGAP3
DLGAP1
SRPX2
DLGAP5
BRDT
FBXL15
MBNL2
MBNL3
PLK3
A1BG
PLK2
OIP5
CLCN3
CLCN2
CLCN1
FBXL16
CLCN7
CLCN6
CDX4
FAM169A
BRD8
BRD9
PCDHGA1
BRD4
BRD7
BRD1
BRD2
BRD3
DNAJA2
DOLPP1
DNAJA1
TGFBR3
DNAJA4
GLG1
PTPN13
PTPN12
PTPN11
NKX2-8
MYCBP
PTPN14
GALR3
GALR1
UTRN
LYAR
PCDH20
CH25H
CSF2RB
PPP1R14C
MRPL27
CSF2RA
DMD
C16orf71
C16orf72
MRPL22
GAB4
LRFN4
C16orf78
MRPL28
GAB1
HABP4
C2orf80
C2orf83
C2orf82
ZNF853
NPTX2
HABP2
ZNF850
ZSCAN4
NDRG2
NDRG3
ZSCAN1
ZSCAN2
SRSF5
SRSF4
SRSF7
SRSF6
SRSF1
CHD1L
SRSF3
HOXA6
MZB1
SRSF9
HOXA5
DNAJB13
RAPH1
VIL1
CDK3
HLA-DQB1
MSMB
HLA-DQB2
RNF138
HOXA3
ENOSF1
CDK5
GID4
CISD3
CISD1
CLNS1A
CDK6
TSHZ2
TSHZ3
EIF4E1B
GID8
TRMT12
FOXS1
VILL
ZNF581
CDK8
ZNF583
ZNF582
TIPARP
ZNF584
ZNF587
ZNF586
ZNF589
THSD1
MCHR2
TMEM115
ASUN
KRTAP24-1
HAPLN1
CAMKK2
CAMKK1
NPTXR
OR8U1
LPAR5
MAGEC2
OLFML1
MTRF1L
MYO1G
MYO1F
MYO1E
MYO1D
MYO1C
MYO1B
MYO1A
GRN
AMOTL2
PARD6G
CHMP3
DENND6B
CHMP6
BCR
DENND6A
MFN1
PGBD5
PGBD2
CTPS2
CTPS1
LGALSL
LY6G6C
LY6G6D
PPAPDC1B
HOXA11
HOXA10
KRTAP19-2
KRTAP19-3
MED23
KRTAP19-1
KRTAP19-6
KRTAP19-7
PPIAL4G
KRTAP19-5
FAM160B1
KRTAP19-8
FAM160B2
ATAT1
GALNTL5
ZNF324
NEMF
WFS1
SRF
ZNF320
ZNF322
FAM214A
FAM214B
SRI
ZNF329
SRL
SRM
SRR
LGALS9
LGALS8
FAM220A
LGALS3
LGALS2
LGALS1
SPECC1
LGALS7
LGALS4
NMU
RNF114
AKIRIN2
AKIRIN1
EIF2AK1
MS4A15
EIF2AK3
EIF2AK2
TDG
EIF2AK4
LIMS1
NMB
EREG
MYO19
AVPI1
MYO16
TRNT1
ASAP1
ASAP2
NMI
OCRL
ATG101
PLAUR
GJB4
KRT28
HILPDA
KCNH8
LOR
LRRC26
LRRC25
LRRC24
LRRC23
MPDU1
KIAA1033
LOX
PPTC7
LRRC29
CCPG1
ITCH
GCNT7
TIMM17A
GCNT1
GCNT3
GCNT2
SEMA6B
LPCAT4
LPCAT2
LPCAT3
LPCAT1
KRT20
MID1IP1
PIGA
PIGB
PIGC
PIGF
PIGG
PIGH
TBC1D3
PIGK
PIGL
PIGM
PIGN
PIGO
TMEM194A
PIGQ
PIGR
TMEM194B
PIGT
PIGU
WRAP53
PIGW
PIGX
KRT25
NDFIP2
TAGLN
CCDC178
CSNK1G2
TAX1BP3
ALPP
RHPN1
ELAC2
OLR1
RHPN2
SRRM1
CCDC171
CCDC172
CCDC173
SRRM5
SRRM4
CCDC176
C9orf116
SUN2
PDK3
PDK2
EBP
PDK4
COL4A3BP
LNPEP
MYO5C
ALPI
C9orf114
SEC61A1
SEC61A2
ALPL
SPAG4
PTGS2
TM2D2
RGL2
CKAP2
PPP2R3B
OGFRL1
ZFAND4
ZFAND3
ZFAND1
MYO5B
SUN5
SLC39A12
CEP128
ANKMY1
SLC39A11
SLC39A14
DNAJC17
CEP120
EIF1AX
NTRK1
NTRK2
NTRK3
EIF1AD
SMAD4
ARHGAP21
ARHGAP20
ARHGAP27
ARHGAP26
ARHGAP25
EVI5
NARFL
ARHGAP29
CHST12
PCGF1
SYDE1
DDIT3
MICALCL
YIPF7
FAM76B
GOLPH3L
RBFA
COL19A1
RIIAD1
NKRF
OR9Q1
AFTPH
MYSM1
ATG2A
ATG2B
BMP7
BMP6
BMP5
BMP4
BMP3
BMP2
BMP1
GPR4
DR1
OR5R1
PCGF6
SWT1
TERF1
ASF1B
NDUFAF1
FEM1A
GOLGA8A
GDPD1
GOLGA8B
MARCH11
RASSF8
CT45A1
PTOV1
RASSF3
RASSF2
CT45A5
CT45A4
RASSF7
RASSF6
LPPR5
